ID,Expediente,Mercado,Motivo,FechaInicio,FechaResolucion,Decision,Recurso,IdSector,IdSubsector,IdRama,Amparo,Nulidad,Relacionados,PalabrasClave,Sector,Subsector,Rama,Rubro,Anio,Consecutivo,Empresas,FechaResolucionOrigen,SentidoResolucionOrigen,Efecto,FechaResolucionCNT,SentidoResolucion,Multa,Tipo,RutaGaceta,ExpedienteOrigen,FechaVPResolucionRA,SentidoVPResolucionRA,PalabrasClaveComplemento,docEmpresaAlias,FechaActualizacion,NoPresentada,Resumen,RutaNoPresentada,RutaResumen,RutaExtracto,RutaDictamen,RutaResolucion,RutaDesechamiento,RutaCierre,RutaPosicionamiento,Multa1,Mercado1,Tipo1,,,,,,,,,
10845,DE-030-2025,N/A,N/A,,16/04/2026 00:00,Desechamiento,,23,237,2371,,,,,Construcción,Construc. obras de ing. civil u obra pesada,"Construc. de obras abast. agua, petr., gas",DE,2025,30,,16/04/2026 00:00,,,16/04/2026 00:00,,,N/A,,,16/04/2026 00:00,,,,16/04/2026 14:15,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
10850,DE-006-2026,N/A,N/A,,26/03/2026 00:00,No presentada,,0,0,0,,,,,,,,DE,2026,6,,26/03/2026 00:00,,,26/03/2026 00:00,,,N/A,,,26/03/2026 00:00,,,,16/04/2026 16:15,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
10851,DE-007-2026,N/A,N/A,,26/03/2026 00:00,No presentada,,0,0,0,,,,,,,,DE,2026,7,,26/03/2026 00:00,,,26/03/2026 00:00,,,N/A,,,26/03/2026 00:00,,,,16/04/2026 16:15,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
10852,DE-008-2026,N/A,N/A,,26/03/2026 00:00,No presentada,,0,0,0,,,,,,,,DE,2026,8,,26/03/2026 00:00,,,26/03/2026 00:00,,,N/A,,,26/03/2026 00:00,,,,16/04/2026 16:15,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
10816,DE-009-2026,N/A,N/A,,24/03/2026 00:00,Desechamiento,,51,511,5112,,,,,Información en medios masivos,"Ed. publicaciones y software, exc. Internet","Ed. de software, excepto a través Internet",DE,2026,9,,24/03/2026 00:00,,,24/03/2026 00:00,,,N/A,,,24/03/2026 00:00,,,,24/04/2026 13:15,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
10848,DE-004-2026,N/A,N/A,,23/03/2026 00:00,No presentada,,0,0,0,,,,,,,,DE,2026,4,,23/03/2026 00:00,,,23/03/2026 00:00,,,N/A,,,23/03/2026 00:00,,,,16/04/2026 16:15,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
10858,IO-001-2020,"PRODUCCIÓN, DISTRIBUCIÓN Y COMERCIALIZACIÓN DE OXÍGENO MEDICINAL Y SERVICIOS RELACIONADOS EN EL TERRITORIO NACIONAL.",56-IV,,13/03/2026 00:00,Sanción,,31,325,3259,,,,,Industrias manufactureras,Industria química,Fabricación de otros productos químicos,IO,2020,1,,13/03/2026 00:00,,,13/03/2026 00:00,,,Práctica monopólica relativa,,,13/03/2026 00:00,,,,23/04/2026 18:15,,,,,,,Si,,,,0,"PRODUCCIÓN, DISTRIBUCIÓN Y COMERCIALIZACIÓN DE OXÍGENO MEDICINAL Y SERVICIOS RELACIONADOS EN EL TERRITORIO NACIONAL.",PRÁCTICA MONOPÓLICA RELATIVA,,,,,,,,,
10855,DE-034-2025,N/A,N/A,,09/02/2026 00:00,No presentada,,0,0,0,,,,,,,,DE,2025,34,,09/02/2026 00:00,,,09/02/2026 00:00,,,N/A,,,09/02/2026 00:00,,,,16/04/2026 16:15,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
10349,IO-001-2019,"MERCADO DE LA COMERCIALIZACIÓN Y DISTRIBUCIÓN DE GASOLINAS Y DIÉSEL, ASÍ COMO EXPENDIO AL PÚBLICO DE ÉSTAS EN ESTACIONES DE SERVICIO EN EL TERRITORIO NACIONAL",62,,03/02/2026 00:00,Sanción,,46,468,4684,,,,,Comercio al por menor,"CME veh. motor, refac., combustibles, lubric.","CME combustibles, aceites, grasas lubricantes",IO,2019,1,,03/02/2026 00:00,,,03/02/2026 00:00,,,Práctica monopólica relativa,,,03/02/2026 00:00,,,,21/04/2026 14:15,,,,,,,Si,,,,0,"MERCADO DE LA COMERCIALIZACIÓN Y DISTRIBUCIÓN DE GASOLINAS Y DIÉSEL, ASÍ COMO EXPENDIO AL PÚBLICO DE ÉSTAS EN ESTACIONES DE SERVICIO EN EL TERRITORIO NACIONAL",PRÁCTICA MONOPÓLICA RELATIVA,,,,,,,,,
10856,DE-033-2025,N/A,N/A,,29/01/2026 00:00,No presentada,,0,0,0,,,,,,,,DE,2025,33,,29/01/2026 00:00,,,29/01/2026 00:00,,,N/A,,,29/01/2026 00:00,,,,20/04/2026 15:15,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
